City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
292,Sarangani,PH,5.4033,125.4636,83.68,72,100,4.99,light rain
293,Svetlaya,RU,46.5389,138.3297,44.38,48,6,14.12,clear sky
294,Ixtapa,MX,20.7,-105.2,83.43,79,100,6.91,overcast clouds
295,Pokrovskoye,RU,47.4157,38.8971,46.31,59,5,4.5,clear sky
296,Gogrial,SS,8.5332,28.1004,72.18,84,99,3.09,overcast clouds
297,Kloulklubed,PW,7.0419,134.2556,86.5,74,100,10.83,overcast clouds
298,Chapais,CA,49.7834,-74.8492,46.18,68,100,12.01,overcast clouds
299,Abu Samrah,SY,35.3029,37.1841,67.77,75,21,8.05,few clouds
300,Alibag,IN,18.6411,72.8792,80.67,84,100,4.21,overcast clouds
301,Itaobim,BR,-16.5667,-41.8333,74.25,61,2,5.28,clear sky
302,Colquechaca,BO,-18.6667,-66.0167,36.03,72,48,5.23,scattered clouds
303,Tabas,IR,33.5959,56.9244,68.22,18,74,4.61,broken clouds
304,Alice Springs,AU,-23.7,133.8833,74.75,53,40,14.97,scattered clouds
305,Yuli,NG,9.6989,10.2744,75.29,44,8,3.2,clear sky
306,Palmer,US,42.1584,-72.3287,57.85,84,100,0.0,overcast clouds
307,Porto Novo,BJ,6.4965,2.6036,76.86,90,100,4.97,moderate rain
308,Riyadh,SA,24.6877,46.7219,68.14,15,100,4.94,overcast clouds
309,Pakxan,LA,18.3778,103.6601,72.75,63,16,5.77,few clouds
310,Grindavik,IS,63.8424,-22.4338,36.07,87,40,3.44,scattered clouds
311,Aranos,NA,-24.1333,19.1167,62.26,61,49,8.28,scattered clouds
312,Margate,GB,51.3813,1.3862,52.7,91,100,1.99,overcast clouds
313,Batagay,RU,67.6333,134.6333,11.61,95,97,0.81,overcast clouds
314,Kineta,GR,37.9709,23.2183,66.25,68,0,24.36,clear sky
315,Saint-Joseph,RE,-21.3667,55.6167,64.78,78,19,9.44,few clouds
316,Barra Velha,BR,-26.6322,-48.6847,67.91,92,100,4.76,overcast clouds
317,Flinders,AU,-34.5833,150.8552,66.38,70,100,6.85,overcast clouds
318,Ishikari,JP,43.2397,141.3539,53.82,87,75,19.57,broken clouds
319,Ravensburg,DE,47.7833,9.6167,55.08,100,75,2.3,broken clouds
320,Kidal,ML,18.4411,1.4078,81.01,21,91,12.95,overcast clouds
321,Luganville,VU,-15.5333,167.1667,85.62,65,5,7.0,clear sky
322,Waingapu,ID,-9.6567,120.2641,85.8,66,100,11.01,overcast clouds
