City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
277,Conceicao Do Araguaia,BR,2022-10-16 22:10:25,-8.2578,-49.2647,86.41,38,38,5.66
278,Lompoc,US,2022-10-16 22:07:56,34.6391,-120.4579,79.02,71,75,14.97
279,Buchanan,LR,2022-10-16 22:10:25,5.8808,-10.0467,76.57,86,92,5.53
280,Chornukhy,UA,2022-10-16 22:10:26,50.2673,32.942,41.09,73,76,4.54
281,Kavaratti,IN,2022-10-16 22:10:26,10.5669,72.642,80.73,76,100,3.44
282,Rebrikha,RU,2022-10-16 22:10:27,53.0733,82.3408,52.88,45,100,7.76
283,New Norfolk,AU,2022-10-16 22:10:27,-42.7826,147.0587,51.93,66,95,1.01
284,Riohacha,CO,2022-10-16 22:09:15,11.5444,-72.9072,81.82,84,67,10.94
285,Shelburne,CA,2022-10-16 22:10:28,44.0787,-80.2041,51.76,63,95,8.9
286,Kabare,CD,2022-10-16 22:10:28,-2.4683,28.8242,62.29,93,97,2.35
287,Saryg-Sep,RU,2022-10-16 22:10:29,51.5,95.6,27.9,38,12,4.07
288,Saint-Leu,RE,2022-10-16 22:10:29,-21.15,55.2833,68.86,80,65,7.87
289,Santa Vitoria Do Palmar,BR,2022-10-16 22:10:29,-33.5189,-53.3681,58.59,92,100,20.69
290,Konevo,RU,2022-10-16 22:10:30,62.1215,39.3192,47.12,89,99,10.04
291,Mubende,UG,2022-10-16 22:10:30,0.5606,31.39,60.03,96,100,2.28
